項目,附表一名稱,CAS.Number,,中文名稱,英文名稱,特定化學物質類別,作測項目
1,黃磷火柴,－,,黃磷火柴,Yellow phosphorus match,甲,
2,聯苯胺及其鹽類,92-87-5,,聯苯胺,Benzidine,甲,Y
3,4-胺基聯苯及其鹽類,92-67-1,,4-胺基聯苯,4-Aminodiphenyl,甲,Y
4,4-硝基聯苯及其鹽類,92-93-3,,4-硝基聯苯,4-Nitrodiphenyl,甲,
5,β-萘胺及其鹽類,91-59-8,,β-萘胺,β-Naphthylamine,甲,Y
6,二氯甲基醚,542-88-1,,二氯甲基醚,bis-Chloromethyl ether,甲,
7,多氯聯苯,1336-36-3,,多氯聯苯,Polychlorinated biphenyls,甲,Y
8,氯甲基甲基醚,107-30-2,,氯甲基甲基醚,Chloromethyl methyl ether,甲,
9,青石綿,12001-28-4,,青石綿,Crocidolite,甲,
10,褐石綿,12172-73-5,,褐石綿,Amosite,甲,
11,甲基汞化合物,22967-92-6,,甲基汞,Methyl mercury,甲,
12,五氯酚及其鈉鹽,87-86-5,,五氯酚,Pentachlorophenol,甲,Y
13,二氯聯苯胺及其鹽類,91-94-1,,二氯聯苯胺,"3,3'-Dichlorobenzidine",乙,Y
14,,612-83-9,,二氯聯苯胺二鹽酸鹽,"3,3'-Dichlorobenzidine dihydrochloride",乙,
15,α-萘胺及其鹽類,134-32-7,,α-萘胺,α-Naphthylamine,乙,Y
16,鄰-二甲基聯苯胺及其鹽類,119-93-7,,鄰-二甲基聯苯胺,"3,3'-Dimethyl-[1,1'-biphenyl]-4,4'-diamine",乙,Y
17,,612-82-8,,鄰-二甲基聯苯胺二鹽酸鹽,o-Tolidine dihydrochloride,乙,
18,二甲氧基聯苯胺及其鹽類,119-90-4,,二甲氧基聯苯胺,"3,3'-Dimethoxybenzidine",乙,Y
19,,20325-40-0,,二甲氧基聯苯胺二鹽酸鹽,"3,3'-Dimethoxybenzidine dihydrochloride",乙,
20,鈹及其化合物,7440-41-7,,鈹,Beryllium,乙,Y
21,,7787-56-6,,硫酸鈹四水合物,"Sulfuric acid, beryllium salt (1:1),tetrahydrate",乙,
22,三氯甲苯,1998/7/7,,三氯甲苯,Benzotrichloride,乙,
23,含苯膠糊,－,,含苯膠糊,Glue that contains benzene,甲,
